len_title,len_abstract,num_authors,num_conflicts,num_tags,num_ivy_conflicts,num_big_four_conflicts,num_keywords_abstract,num_keywords_title,num_pages,num_sections,decision
9,178,3,2,1,0,0,2,0,10,12,Not Accept
10,161,2,1,3,0,0,3,0,11,10,Not Accept
7,95,3,2,5,0,0,4,0,12,10,Not Accept
12,195,2,2,3,0,0,2,0,18,11,Not Accept
7,187,3,1,1,0,0,0,0,12,12,Not Accept
12,169,5,2,1,0,0,2,0,9,4,Not Accept
15,90,3,1,1,0,0,0,0,13,9,Not Accept
6,181,3,1,2,0,0,0,0,13,9,Not Accept
6,143,2,1,3,0,0,1,1,17,13,Accept
11,132,5,2,3,0,0,1,0,11,7,Not Accept
3,92,2,1,3,0,0,0,0,13,9,Not Accept
3,202,4,1,1,0,0,1,0,10,11,Accept
10,227,5,2,3,0,0,2,0,13,7,Not Accept
6,143,3,1,1,0,0,1,0,10,6,Not Accept
8,159,10,1,3,0,0,1,0,20,12,Accept
9,322,5,3,2,0,0,2,0,14,8,Accept
7,187,4,2,1,0,0,1,0,11,11,Not Accept
9,105,5,1,1,0,1,2,0,10,7,Accept
7,153,3,2,1,0,1,1,0,17,16,Accept
1,103,3,1,3,0,1,0,0,18,9,Accept
6,120,4,2,2,0,0,0,0,13,8,Accept
13,149,2,1,3,0,0,2,0,25,8,Accept
10,130,4,3,3,0,0,0,0,16,18,Not Accept
3,159,4,3,3,0,0,1,0,18,12,Not Accept
6,119,2,2,2,0,0,1,1,10,13,Not Accept
7,138,3,2,1,0,1,0,0,10,7,Not Accept
8,194,7,1,1,0,1,2,0,19,4,Accept
8,249,5,2,3,0,0,1,0,13,8,Accept
8,121,2,1,1,0,0,1,0,12,9,Accept
11,149,4,1,4,0,0,0,0,17,13,Not Accept
8,213,5,4,2,0,0,2,0,16,12,Not Accept
14,84,2,1,4,0,0,0,0,13,0,Not Accept
7,135,2,1,2,0,0,0,0,8,8,Accept
11,178,3,1,1,0,0,2,0,11,7,Not Accept
8,142,4,1,2,0,0,2,0,12,8,Not Accept
9,137,2,1,1,0,0,1,0,15,6,Not Accept
10,220,9,4,3,0,0,1,0,18,9,Not Accept
7,162,4,3,1,0,0,2,0,12,10,Not Accept
4,64,1,1,1,0,0,0,0,10,9,Not Accept
3,116,2,1,2,0,0,1,0,28,10,Accept
3,83,4,1,1,0,0,0,0,15,10,Not Accept
5,189,4,1,1,0,1,3,0,10,6,Accept
10,143,3,1,3,0,0,2,0,7,5,Not Accept
4,150,3,2,3,0,0,0,0,17,14,Accept
6,107,2,1,1,0,0,0,0,12,8,Not Accept
9,170,3,1,1,0,0,1,0,12,8,Not Accept
6,124,2,1,1,0,0,0,0,11,4,Not Accept
11,178,2,1,1,0,0,0,0,14,9,Accept
14,140,3,2,1,0,0,1,0,17,9,Not Accept
10,229,5,3,1,0,1,1,0,16,13,Accept
10,149,4,2,1,0,0,1,0,12,8,Not Accept
5,138,3,1,4,0,0,1,0,15,12,Not Accept
12,138,4,5,2,0,0,2,0,14,12,Accept
8,107,4,6,2,0,0,1,0,12,9,Accept
9,132,4,1,1,0,1,2,0,10,7,Not Accept
6,254,5,3,3,0,0,1,0,17,15,Accept
9,153,2,3,3,0,0,1,0,9,9,Not Accept
8,140,2,1,1,0,0,3,0,10,8,Not Accept
6,190,3,1,2,0,0,2,0,14,12,Accept
9,129,2,2,3,0,0,2,0,12,12,Accept
6,108,4,3,2,0,0,1,0,15,9,Accept
10,66,3,2,2,0,0,0,0,8,5,Not Accept
3,129,5,2,2,0,0,1,0,17,10,Accept
8,124,2,4,2,0,0,1,0,13,4,Accept
8,98,8,2,4,0,0,1,0,11,7,Accept
8,165,3,1,2,0,0,0,0,10,0,Not Accept
3,129,1,1,2,0,0,0,0,33,4,Accept
9,193,5,2,3,0,0,2,0,10,8,Not Accept
9,156,4,4,1,0,0,0,0,20,13,Not Accept
5,183,3,2,2,0,1,0,0,17,12,Accept
3,79,2,1,2,0,0,1,0,13,13,Accept
8,131,4,5,2,0,0,0,0,17,11,Accept
4,110,2,1,2,0,0,2,0,11,11,Not Accept
9,141,2,1,4,0,0,0,0,13,9,Not Accept
9,157,6,6,2,0,0,1,0,18,11,Not Accept
5,162,4,2,1,0,0,1,0,11,6,Not Accept
4,137,1,2,4,0,0,0,0,19,16,Accept
4,168,2,2,1,0,0,2,0,13,11,Accept
7,125,1,1,3,0,0,1,0,13,7,Accept
7,80,2,2,2,0,0,0,0,19,10,Accept
4,246,3,3,1,0,0,1,0,16,11,Accept
9,103,4,3,3,0,0,0,0,21,10,Accept
7,126,12,1,1,0,0,1,0,9,9,Not Accept
7,111,2,1,2,0,0,1,0,16,11,Accept
5,113,4,1,2,0,0,0,0,11,10,Not Accept
7,192,4,3,5,0,0,1,0,13,11,Not Accept
6,168,2,2,1,0,0,1,0,16,13,Not Accept
5,148,3,1,3,0,0,1,0,11,11,Accept
7,190,2,1,1,0,0,1,0,9,7,Not Accept
10,122,2,3,2,0,0,0,0,15,11,Not Accept
3,152,5,1,4,0,0,1,0,10,8,Not Accept
6,105,1,1,1,0,0,1,0,11,6,Accept
8,116,1,1,4,0,0,3,1,11,4,Not Accept
6,169,3,4,1,0,0,2,0,11,4,Accept
10,202,7,2,3,0,0,0,0,18,4,Not Accept
7,146,4,5,4,0,0,1,0,12,9,Accept
9,193,3,2,1,0,0,0,0,9,9,Not Accept
9,109,3,1,2,0,0,1,0,16,8,Not Accept
5,311,7,2,1,0,0,1,0,12,9,Not Accept
4,207,2,4,2,0,0,1,0,15,4,Accept
6,107,3,2,3,0,0,1,2,11,10,Not Accept
4,182,4,2,1,0,0,2,0,20,14,Not Accept
5,148,5,1,2,0,0,2,0,12,7,Not Accept
4,161,4,7,3,0,0,3,0,12,8,Accept
9,243,2,1,2,0,0,1,0,28,15,Accept
9,195,7,3,2,0,0,1,0,11,7,Accept
3,200,2,2,2,0,0,2,0,10,6,Not Accept
5,74,1,1,3,0,0,1,0,9,5,Not Accept
8,125,4,4,1,0,0,1,0,10,4,Not Accept
8,114,4,3,3,0,0,0,0,13,9,Not Accept
13,276,4,2,1,0,0,2,0,13,9,Not Accept
5,149,4,2,2,0,0,1,0,18,12,Not Accept
11,187,3,1,2,0,0,0,0,15,17,Not Accept
7,173,4,3,1,0,0,0,0,15,13,Not Accept
5,145,1,1,2,0,0,1,1,23,10,Not Accept
3,176,4,1,1,1,0,1,0,21,4,Accept
10,97,5,2,2,0,0,0,0,17,7,Not Accept
4,158,5,3,3,0,0,0,0,17,12,Accept
6,128,11,1,4,0,1,1,0,14,15,Not Accept
3,187,6,5,2,0,0,2,0,10,8,Not Accept
9,175,5,2,2,0,0,0,0,10,8,Not Accept
14,149,5,2,3,0,0,0,0,19,11,Not Accept
7,176,2,1,1,0,0,1,0,17,16,Accept
6,176,2,2,2,0,0,0,0,12,9,Not Accept
7,191,8,5,3,0,0,4,0,12,6,Not Accept
8,215,6,3,2,0,0,2,0,18,12,Not Accept
8,127,7,4,2,0,0,2,0,16,13,Accept
7,126,3,1,1,0,1,0,0,14,4,Not Accept
8,187,5,4,3,0,0,1,0,13,10,Not Accept
8,165,5,4,1,0,0,0,0,10,7,Not Accept
8,118,4,2,2,0,0,1,0,13,8,Accept
9,146,4,1,3,0,0,2,0,16,15,Accept
8,59,2,4,1,0,1,0,0,6,9,Not Accept
10,234,6,3,2,0,0,1,0,13,6,Accept
6,232,2,3,1,0,0,1,0,12,11,Not Accept
4,144,3,2,2,0,0,2,0,17,13,Not Accept
13,71,4,2,3,0,0,1,0,13,4,Accept
5,172,4,1,2,0,1,1,0,15,14,Accept
5,100,1,1,3,0,0,0,0,8,7,Not Accept
3,64,2,3,3,0,0,0,0,12,4,Accept
11,239,2,1,2,0,0,1,0,11,0,Not Accept
6,207,2,1,4,0,0,0,0,12,11,Accept
5,184,2,2,1,0,1,3,0,14,4,Accept
9,181,6,1,1,0,1,1,0,14,10,Not Accept
7,183,5,1,1,0,0,4,0,12,0,Not Accept
8,200,5,4,2,0,0,1,0,13,13,Accept
5,150,4,3,1,0,0,1,0,13,8,Not Accept
8,175,5,4,2,0,0,1,0,10,6,Not Accept
6,90,3,1,4,0,0,0,0,11,8,Accept
10,143,4,4,1,0,0,1,0,10,7,Not Accept
7,156,4,2,2,0,0,0,0,9,9,Not Accept
5,113,3,3,1,0,0,1,0,11,9,Not Accept
10,253,9,3,3,0,0,1,0,12,8,Accept
7,89,3,1,3,0,0,0,0,9,6,Not Accept
6,138,12,1,2,0,1,2,0,16,4,Accept
10,103,4,3,1,0,0,1,0,11,7,Not Accept
5,193,3,2,4,0,0,0,0,12,9,Not Accept
8,152,4,2,3,0,0,2,0,13,7,Not Accept
9,101,7,4,2,0,0,1,0,12,10,Accept
8,119,5,2,2,0,0,1,0,18,12,Not Accept
3,100,2,1,1,0,0,0,0,11,10,Not Accept
7,116,5,2,2,0,0,0,0,10,0,Not Accept
10,185,3,4,3,0,0,0,0,14,10,Not Accept
3,103,3,3,1,0,0,1,0,11,7,Not Accept
6,153,5,1,2,0,1,2,0,16,13,Not Accept
5,135,3,4,2,0,0,1,0,13,7,Accept
5,151,6,3,2,0,0,0,0,10,7,Not Accept
5,149,4,3,2,0,0,0,0,11,0,Not Accept
7,112,5,3,1,0,0,1,0,15,9,Accept
11,140,5,1,1,0,0,0,0,13,6,Not Accept
